addr,web_add,pay,company_info,company,jobname
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2.5万/月,"岗位职责：,1.负责指定web端产品的后端设计，研发，优化等研发工作，保证产品的质量和研发进度。,2.负责客户增长相关技术的设计和实现。,3.研究新兴技术，对产品进行持续优化。,任职要求：,1.本科及以上学历，计算机相关专业，基础知识扎实。,2.工作经验2年以上，有至少2个python项目研发经验。,3.熟悉linux系统及terminal等常用命令。,4.熟悉面向对象编程，熟练掌握python语法及git,django或tornado等web框架。,5.熟悉celery，elasticsearch等框架者优先。,6.学习能力、动手能力强，有独立解决问题的能力。",深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2.5万/月,"岗位职责：,1.负责指定web端产品的后端设计，研发，优化等研发工作，保证产品的质量和研发进度。,2.负责客户增长相关技术的设计和实现。,3.研究新兴技术，对产品进行持续优化。,任职要求：,1.本科及以上学历，计算机相关专业，基础知识扎实。,2.工作经验2年以上，有至少2个python项目研发经验。,3.熟悉linux系统及terminal等常用命令。,4.熟悉面向对象编程，熟练掌握python语法及git,django或tornado等web框架。,5.熟悉celery，elasticsearch等框架者优先。,6.学习能力、动手能力强，有独立解决问题的能力。",深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,12-45万/年,"· 1. 根据开发进度和任务分配，完成相应模块软件的设计、开发和编程任务；,· 2. 独立处理和解决所负责的开发任务；,· 3. 可转人工智能算法方向。,· 1. 理工科，本科及以上学历，有志于在人工智能/IT行业发展；,· 2. 计算机、软件、电子信息、自动化、数学、物理专业；,· 2. 有计算机语言基础者优先，如C/C++、Java、Python、MATLAB等；,· 3. 有工作、实习或项目经验者优先；,· 4. 有丰富获奖经历者优先；,· 5 . 数学基础扎实，能够独立阅读英文文献者优先。,· 6. 有较好的团队合作精神与敬业精神。",深圳市威富安防有限公司,Python开发工程师
北京-东城区,https://jobs.51job.com/all/co3639458.html,1-2万/月,,深圳市威富安防有限公司,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,2-3万/月,"1、负责在线娃娃机的管理后台系统的研发,2、负责统计后台搭建 3、负责监控后台搭建,1、本科以上学历，5年以上同岗位工作经验。,2、有成熟的管理后台项目的开发经验,3、有bi项目开发经验者优先 4、同时具备Python与Java开发经验者优先",深圳市威富安防有限公司,python后台研发工程师(职位编号：forgame000544)
北京-海淀区,https://jobs.51job.com/all/co3639458.html,0.5-1万/月,"1、  负责公司产品的售前、售中、售后技术支持和客户服务工作；,2、  配合销售做好售前技术咨询，了解客户应用需求，提供解决方案；,3、  根据客户需求，能够对相关计算软件（Python编程）进行2次开发，调整软件相关参数；,4、  整理产品技术资料，提供销售部门需求的技术文件；,5、  负责公司产品的对内对外的应用培训。,任职要求：,1、硕士学历或具有2年相关工作经验的学士；,2、生态学、环境科学、气象学、农学、化学分析或质检相关专业；,3、具备优秀的语言表达能力和良好的社会关系及敏捷的思维和应急处理能力；,4、具有较强的英语能力，能够和国外人员进行技术问题沟通；,5、良好的沟通及团队协作能力；能承受高强度的工作压力；独立处理、解决问题的能力，适应出差要求；,6、有温室气体研究经历或稳定性同位素研究经历的优先考虑；,7、有环保或质检经验或相关设备销售经验的优先考虑；,8、有航空、国防或应急响应领域相关设备推广和销售经验的优先考虑。,9、熟悉Python语言，熟练掌握利用Python开发科学计算的应用程序；,10、有实际的利用Python开发经历的经验者优先 。,薪资：10W+ ， 15W+ ， 20W+ 依能力无上限,我们一直在为您和我们创造机会，也一直为我们寻找最出色的人才。无论你想成为工程师， 销售主管，还是其他角色的工作人员，只要您拥有非凡智慧与创造力、勇于面对任何挑战，对所从事的工作倍感兴奋，那么，请您加入到北京普瑞亿科科技有限公司；只要您天赋异禀、锐意进取、坚持不懈、勇往直前，北京普瑞亿科科技有限公司乐意为您提供最广阔的施展平台，甚至超乎你的想象；只要您兢兢业业、脚踏实地、无私奉献、恪尽职守，您会获得对等的福利待遇、晋升机会和出国旅游和学习机会。与此同时，公司职员国家法定节假日、国家规定保险（五险）、节日福利、年假、年度体检、旅游和聚会等一系列福利。,有意者请将中英文简历发送至：info@pri-eco.com，我们将电话通知初选合格者进行面试。未接电话通知者，您的资料将会进入我公司的人才库，有新的职位时会优先予以考虑。",深圳市威富安防有限公司,Python运维工程师
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,2-3万/月,,深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1-2.5万/月,,深圳市威富安防有限公司,Python/Go开发工程师-北京-00395
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,,深圳市威富安防有限公司,Python Web 开发工程师(职位编号：034)
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1-1.5万/月,"工作职责：,1. 网络信息搜索方向的架构设计与开发，完成爬虫系统框架搭建；,2. 根据需求进行信息源数据分析，并制定解决方案。,3. 完成网页，门户，贴吧，论坛等各种数据信息的精准抽取；,4. 数据模型设计和实现，满足项目及产品需求；,5. 对搜索、匹配、同步等后台守护程序进行性能优化。,岗位要求：,1. 计算机相关专业，有3年以上的网络爬虫工作经验；,2. 精通网页抓取原理及技术，精通正则表达式，精通SQL，可以从结构化的和非结构化的数据中获取信息。,3. 精通Java、Python等编程语言，熟悉各类数据结构及常用算法；,4. 有良好的学习能力和团队协作能力。",深圳市威富安防有限公司,python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,0.8-1万/月,"技术要求：,1. 2年以上python系统开发经历。,2. 熟悉Django、Flask等Web框架，了解HTML，JavaScript。,3. 熟悉自动化部署工具：Ansible、Saltstack、Puppet一种以上,4. 熟悉Linux操作系统，熟悉Shell脚本以及常用的Linux操作命令,5. 熟悉MVC，熟悉OOP，熟悉Python之外的其他OOP语言，Java者优先,6. 具备较强的沟通交流、团队合作和文档编写能力。,7. 逻辑思路清晰，工作认真负责，具备较强的工作主动性，有较强的解决问题能力。,8. 熟悉DevOps工具链和生态系统，有与PaaS平台结合经验者优先,岗位职责：,负责公司应用程序、web程序、数据库应用开发。",深圳市威富安防有限公司,Python开发工程师-北京
北京-东城区,https://jobs.51job.com/all/co3639458.html,2-3万/月,base 北京,深圳市威富安防有限公司,Python高级开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-3万/月,,深圳市威富安防有限公司,Python开发工程师
北京-西城区,https://jobs.51job.com/all/co3639458.html,2-3万/月,,深圳市威富安防有限公司,量化开发工程师（Java/C++/Python方向）
北京-东城区,https://jobs.51job.com/all/co3639458.html,1.2-1.8万/月,"1、创新项目及公司内部管理系统后台相关服务端的研发和维护；,2、网页信息抓取结果的抽取、数据清洗、分类、聚类等研发工作求；,3、根据技术部门要求完成技术研究工作，并输出研究成果和落地工作；,4、根据产品需要完成项目功能开发。,1、3年python开发经验，熟悉Python主流类库使用，构建过nginx+uWSGI+python的web-services者优先；,2、 熟悉Mysql，Docker，熟练使用Redis，Memcache，MQ等常用第三方组件； ,3、熟练掌握HTTP，TCP/IP，网络编程，爬虫技术； ,4、熟悉分布式系统，对网络和并发编程有丰富的经验，熟悉Linux/Unix平台，能熟练使用脚本语言进行系统日志分析者优先； ,5、喜欢尝试新技术，对于使用过的开源软件能了解到它的原理和机制； ,6、乐观，积极，富有团队精神。",深圳市威富安防有限公司,Python开发工程师-base北京(职位编号：youzu002470)
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2.5万/月,"1. 负责公司基础架构/中间件相关产品和服务的研发。                                                                                                                                                     , 招聘职位任职要求：                                                                                                         , 1. 正规大学本科以上学历、计算机及电子信息相关专业毕业；, 2. 3年及以上Python开发经验，精通Python开发； , 3. 熟悉Tornado框架，有API的开发经验，能够进行快速开发； , 4. 具有良好的沟通协作能力，具有较强的分享精神； , 5. 具有中间件开发经验者优先。",深圳市威富安防有限公司,Python开发工程师
北京,https://jobs.51job.com/all/co3639458.html,0.8-1.2万/月,"一、岗位职责：,1 、负责软件框架结构的搭建，软件流程框图的设计和程序逻辑的设计；,2、组织完成软件程序的编写，制定测试大纲，完成软、硬件的联合测试和调试；,3、负责和组织软件的现场测试，规划软件版本，逐步提升软件产品质量；,4、结合软件采集的数据和现场实际情况，提出数据处理与分析方案；,5、组织并实现软件信息化的系统的规划与实施,二、任职要求：,1、本科以上学历，具有2—5年工作经验，计算机、电子、自动控制等相关专业，有机电设备控制软件设计经验者优先；,2、有过django开发网站的经验；,3、熟悉数据库基本概念；,4、熟悉存储过程使用者优先。,5、能适用出差。,三、福利待遇：,1. 具有竞争力的薪资待遇、及每月绩效考核、年终奖评定等完备的评价考核体系；,2. 伴随公司快速发展，为您提供良好的成长平台和广阔的职业发展空间；,3. 遵循国家法定节假日，八小时工作制，五险一金；,4. 提供补贴津贴、公司年度旅游、员工保险、节假日礼品福利等完备的福利待遇。",深圳市威富安防有限公司,Python工程师（django）
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,0.8-1万/月,,深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1.5-2万/月,"1. 统招本科、计算机相关专业毕业，3年+以上实际的爬虫项目经验；,2. 精通python,熟悉常用爬虫框架中的一种或多种，如Scrapy框架或其他的Web scraping framework；,3. 熟悉HTML/JavaScript/CSS/xpath/url/Ajax/xml等web技知识,熟悉HttpClient、jsoup、WebDriver、phantomjs等工具；,4. 熟悉linux系统，熟悉solr、hdfs、mongodb等nosql数据存储方式,熟悉Internet基本协议（如TCP/IP、HTTP等）；,5. 能够解决封账号、封IP采集、动态网页采集等问题,实现海量数据的抓取、抽取，去重、分类，垃圾过滤，质量识别，解析，整理入库等工作,构建完善的网络信息收集平台；,6. 参与项目整体规划设计过程，制定项目开发迭代计划；,7. 负责网络爬虫采集规则的编写,精通正则表达式；,8. 有分布式爬虫架构经验者优先；,9. 有数据分析、数据挖掘、自然语言处理相关经验者优先。,10.有微博、微信、推特、facebook等社交媒体采集经验者优先。",深圳市威富安防有限公司,Python高级开发工程师
北京,https://jobs.51job.com/all/co3639458.html,2.5-3万/月,"工作要求：,1. 负责颉一安全监控，超融合数据平台等产品设计和实现，确保效率和智能是未来颉一产品的核心组成部分 , 2. 负责开发和单元测试，分析、部署和跟踪云架构领域的新系统 , 3. 编写软件工具清理和挖掘大型杂乱的结构化和非结构化数据 , 4. 使用大数据架构实现分布式数据接入和敏捷虚拟化,任职要求：,1.   工作积极主动，学习能力强 , 2. 计算机科学，计算机工程，数学，或同等的实践经验 , 3. 3~5年经验：C/C++/Java/Python （同时有多种经验者优先考虑）, 4. 精通网络编程，熟练使用多进程和多线程  ,5. 熟悉数据库技术，Oracle，DB2、SQLServer， Informix、Mysql、PostgreSql精通一种或多种优先, 6. 精通Linux系统结构，并熟练使用各种linux操作系统命令, 7. 具备良好的编程习惯，熟悉DevOps基本流程，熟练使用git等常用质量管理工具, 8. 具备良好的沟通能力和团队合作精神,9. 条理清晰，注重细节，务实",深圳市威富安防有限公司,Python高级开发工程师
北京,https://jobs.51job.com/all/co2461295.html,2.5-3万/月,,北京若森数字科技有限公司,Python开发工程师
北京,https://jobs.51job.com/all/co3639458.html,0.6-1.5万/月,,深圳市威富安防有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co3639458.html,1-1.5万/月,,深圳市威富安防有限公司,python开发工程师
北京-顺义区,https://jobs.51job.com/all/co2461295.html,1.5-3万/月,,北京若森数字科技有限公司,云平台开发工程师（JAVA、Python）
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,1.5-2.5万/月,,深圳市威富安防有限公司,Python爬虫工程师-北京-00089
北京-海淀区,https://jobs.51job.com/all/co2461295.html,1.2-2.4万/月,"岗位职责：,1. 根据产品需求，主导和组织需求分析、架构设计和代码开发,2. 协助高层规划公司的技术发展路线与新产品开发,3. 管理公司的整体核心技术，组织制定和实施重大技术决策和技术方案,4. 组织、管理技术团队,5. 指导、审核项目总体技术方案，对各项目进行最后的质量评估,任职要求：,1. 计算机及相关专业本科及以上学历，3年以上软件研发工作经验,2. 参与过大型互联网软件项目的研发，包括需求分析、架构设计等，有IM通讯交友业务项目经验者优先,3. 有大并发系统的设计与研发经验,4. 掌握Python语言，使用过tornado/flask等web框架，有tornado完整项目经验优先,5. 熟悉http(s)等网络协议,6. 熟悉html/css/javascript,7. 熟悉常用数据结构及算法,8. 熟练使用linux系统，有运维经验优先,9. 必知、必会SQL、Redis、Mongo,10. 有分布式系统设计经验，优先考虑",北京若森数字科技有限公司,服务端开发工程师-Python
北京-东城区,https://jobs.51job.com/all/co2461295.html,0.8-1.2万/月,,北京若森数字科技有限公司,Python软件工程师
空,https://jobs.51job.com/all/co2461295.html,空,空,北京若森数字科技有限公司,空
北京-朝阳区,https://jobs.51job.com/all/co3639458.html,10-15万/年,,深圳市威富安防有限公司,Python数据分析师
北京-东城区,https://jobs.51job.com/all/co2461295.html,0.8-1.5万/月,,北京若森数字科技有限公司,Python开发工程师（产品研发）
北京-朝阳区,https://jobs.51job.com/all/co2461295.html,1.5-3万/月,"1、负责公司数据平台中与客户端相关接口的开发与维护；,2、负责服务端整体架构的设计、开发与维护；,3、参与数据产品的设计与方案讨论；,4、负责实现软件、应用程序代码，建立和完善开发文档。,岗位要求：,1、熟悉Python，熟悉Flask、Django等Web开发框架，3年以上相关WEB开发经验；,2、熟悉MySQL等关系型数据库，熟练掌握数据库性能优化；熟悉MongoDB、Redis等非关系型数据库，并有实际的项目开发经验,3、基础知识扎实，有一定的数据结构与算法基础；,4、熟悉Pandas, Numpy库；,5、有良好的技术视野，追求简洁优雅的技术解决方案，能够根据产品和用户的发展，扩展技术架构；,6、有良好的沟通能力，能和不同背景的成员沟通协作；,7、有数据平台开发经验者优先。",北京若森数字科技有限公司,Python高级开发工程师
北京-朝阳区,https://jobs.51job.com/all/co2461295.html,1.5-2万/月,,北京若森数字科技有限公司,Python工程师(职位编号：01)
北京-海淀区,https://jobs.51job.com/all/co2461295.html,1.5-2.5万/月,,北京若森数字科技有限公司,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co2461295.html,1-1.5万/月,,北京若森数字科技有限公司,python工程师
北京-通州区,https://jobs.51job.com/all/co2461295.html,1-1.5万/月,,北京若森数字科技有限公司,Python开发工程师
北京,https://jobs.51job.com/all/co2461295.html,1.5-3万/月,"1. 有SQLAlchemy 编写数据库程序经验,2. 写过Python单元测试用例,3. 有python API框架开发经验,4. 有OpenStack API调用经验,5. 有OpenStack API开发经验者优先,6. 了解TOSCA 者优先,7. 了解NFV MANO者优先",北京若森数字科技有限公司,Python开发工程师
北京-海淀区,https://jobs.51job.com/all/co2461295.html,1.5-2万/月,"1、配合算法工程师及模块整合要求，用Python开发指定功能模块；,2、基于Python的GUI应用程序开发；,3、基于Python的Web端服务程序开发；,任职要求：,1、计算机、信息、自动化类相关专业本科以上及至少两年相关经验；,2、熟悉QT等GUI框架；,3、熟悉WEB开发框架，具备一定的前端开发经验；,4、具备模块化编程思想和良好编码风格，注重代码的可重用性和可维护性； ,5、沟通能力好，善于学习，能独立完成设计开发任务，具备良好的工作责任心和团队精神，有一定的抗压能力；,6、具备良好C语言功底或数学算法实现经验的优先。,北京市海淀区清华园内的清华大学学研综合楼B座七层707室",北京若森数字科技有限公司,Python高级程序员
北京-海淀区,https://jobs.51job.com/all/co2461295.html,1.2-2万/月,"岗位职责：,1、根据产品需求，完成产品功能的设计、编码、测试和发布；,2、根据产品和技术发展要求，完成系统开发所需平台的设计、开发和支持维护工作。,任职资格：,【基本条件】,1、本科及以上学历；,2、计算机、软件工程、通信工程、电子信息工程类相关专业；,3、在与业务相关的技术领域内工作时间至少3 年，通过独立工作而做出贡献。,【能力要求】,1、至少精通python/C/C++中一种语言编程，有2年以上编程经验；,2、精通linux操作系统；,3、熟悉数据库应用开发；,4、独立进行软件项目编码、单元测试或维护,主要负责实现模块的功能；,5、能够在高级软件工程师的指导下完成软件系统详细设计；,6、能独立解决模块开发或维护中一般问题,能按计划完成工作任务并保证质量；,7、能独立完成软件开发过程中相关文档编写。",北京若森数字科技有限公司,业务平台开发（CC++/python）
北京-海淀区,https://jobs.51job.com/all/co2461295.html,1.5-2.5万/月,,北京若森数字科技有限公司,Python开发工程师
北京-丰台区,https://jobs.51job.com/all/co2461295.html,1.3-2万/月,"岗位职责：,  1、负责产品的系统设计和架构分析，参与核心模块的代码编写；,  2、负责效率工具的后台开发工作，具体包括各种需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；,  3、负责高质量的设计和编码，承担重点、难点的技术攻坚； ,    ,  任职要求：,  1、1年以上Python开发经验，本科及以上学历； ,  2、精通Mysql/MongoDB/Redis等的性能调优； ,  3、有良好的学习能力，擅于钻研某方面技术；,  4、细致认真，善于沟通，能和团队融洽相处；,  5. 有AI相关经验者优先；,  6. 精通LNMP者优先。",北京若森数字科技有限公司,Python开发工程师
北京-朝阳区,https://jobs.51job.com/all/co2461295.html,1.3-2.5万/月,,北京若森数字科技有限公司,Python讲师
北京-海淀区,https://jobs.51job.com/all/co2530583.html,1-1.5万/月,,北京初志科技有限公司,算法工程师
北京-朝阳区,https://jobs.51job.com/all/co2461295.html,0.8-1万/月,,北京若森数字科技有限公司,C++/Python研发工程师
北京-海淀区,https://jobs.51job.com/all/co2530583.html,1.5-2.5万/月,任职要求：,北京初志科技有限公司,安全运营工程师
北京-朝阳区,https://jobs.51job.com/all/co2530583.html,1.5-2万/月,"岗位职责：,1、对业务迅速深入理解，并熟悉业务功能、策略；,2、基础数据抽取及临时查询SQL支撑；,3、数据集市的完善，优化和拓展兼容性；,4、对数据工具的并发需求完善支撑和必要优化，要求稳定性，维护和问题修复；,5、嵌套较多的基础数据抓取，和临时任务数据的抓取；,6、历史数据及查询任务数据校验及数据清洗。,任职资格：,1、全日制大学本科以上学历，数学、统计、计算机、运筹学等相关专业；,2、一年及以上数据抽取经验，有互联网产品、运营数据需求查询经验，具有数据分析和数据仓库建模的项目实践经验优先；,3、熟练掌握SQL，Mysql，excel；掌握R，Spark，python，Js更佳；熟悉OLAP数据系统；熟练掌握ETL，存储过程；熟练掌握数据校验、清洗技能；,4、责任心强，保密意识好；逻辑思维严谨，专注、具有数据敏感度；反应迅速，能够良好沟通；,5、有数据分析方面相关培训更佳。",北京初志科技有限公司,数据分析工程师
北京-海淀区,https://jobs.51job.com/all/co2530583.html,0.6-1.2万/月,,北京初志科技有限公司,网络安全工程师(职位编号：06)
北京-朝阳区,https://jobs.51job.com/all/co2530583.html,1-2万/月,"岗位职责：,1、研究电商搜索引擎的策略算法工作，包括用户意图分析、召回策略、相关性模型、排序模型等算法；,2、设计与搭建个性化推荐系统算法模块，提升系统转化率; ,3、建立个性化推荐离线效果评估和线上效果验证的方案;,4、应用数据挖掘、机器学习、自然语言处理等技术，提升推荐效果。,任职要求：,1、计算机或者数学相关本科及以上学历，在推荐、搜索、广告、数据挖掘等方向有 3 年以上的项目经验； ,2、具备机器学习、自然语言处理、数据挖掘等研究背景或项目背景； ,3、熟练掌握海量数据处理技术，有使用 Hadoop / Hive / Spark / Storm 分析海量数据的能力和经验； ,4、具备Linux环境开发经验，熟练掌握至少一种主流编程语言（C++ / Java / Python等）； ,5、对数据有敏锐的洞察力，有良好的逻辑思维能力; ,6、能够熟练阅读英文文献。",北京初志科技有限公司,高级算法工程师
北京-海淀区,https://jobs.51job.com/all/co2530583.html,0.7-1.4万/月,"工作内容:,1.数据库的规划、设计、监控、维护、管理；,2.制定数据质量、数据操作规范标准；,3.大型项目数据库实施方案的制定和实施指导；,4.数据库新版本特性学习、测试及更新生产环境版本；,5.数据库优化、调优，指导开发人员编写高性能的脚本；,6.支持产品研发团队，进行数据库设计、编写存储过程等；,7.在线产品数据更新。,任职资格:,1.大学本科及以上学历，计算机技术或软件工程相关专业优先考虑；,2.至少3年以上大型数据库集群管理经验，熟悉高可用数据库集群方案并有成功经验，熟悉各种数据库的备份、恢复、归档等操作；,3.精通MS-SQL，掌握MongoDB、ElasticSearch、Redis、MySQL数据库应用与调优；,4.熟悉Windows Server和Linux操作系统，熟练掌握各种DBA工具；,5.至少熟悉C#、Java、Python语言中的一种，从事过相关开发工作优先考虑。",北京初志科技有限公司,数据库工程师
北京,https://jobs.51job.com/all/co2530583.html,1.5-2.5万/月,,北京初志科技有限公司,平台开发工程师
北京-海淀区,https://jobs.51job.com/all/co2530583.html,10-20万/年,"计算机相关专业本科以上学历；,熟练使用Linux系统 ,熟悉MySQL等关系型数据库和redis,mongo等非关系数据库,熟练使用elasticsearch等搜索引擎 ,熟练使用python、java/C++等开发语言,熟悉HTTP 及 TCP 底层协议,熟练使用Scrapy / Pyspider /  Nutch / Heritrix 框架或自己手写过类似框架,精通网页抓取原理及技术，精通正则表达式，精通SQL，可以从结构化的和非结构化的数据中获取信息，对数据进行去重、分类、垃圾过滤、质量分析,加分项：,熟悉Hadoop并行计算框架、有 Storm/Spark streaming/Flink 等分布式流计算经验者优先,对数据敏感，具备良好的逻辑思维能力以及优秀的问题解决能力者优先,IT/互联网/通信---软件/互联网开发/系统---数据库开发工程师,                                                                    ,：本科或以上学历，3-5年或以上工作经验",北京初志科技有限公司,数据工程师 北京中技华软科技服务公司
